Année,Continent,Somme de Moyenne de la population,Somme de Moyenne de la population urbaiane ayant safely managed service,Somme de Moyenne de la population urbaine,Somme de Moyenne de la population urbaine ayant basic service
2018,Afrique,24992.423194244504,4678.5653363488545,10699.893918966409,9146.692246415743
2018,Amérique du Nord,16638.82086927719,10935.861374267399,13155.564767657354,13104.72189385341
2018,Amérique du Sud,27087.369710649764,19222.496661005644,22531.78946952378,22453.85091447432
2018,Asie,240644.245580274,130958.2425998015,138573.97955238752,134717.78225737615
2018,Europe,16821.181719207765,11941.61078992293,12691.221593101638,12591.98276613221
2018,Océanie,1732.6031425197918,1112.078922380311,1176.8913241006412,1168.5587831609153
